salaire,titre,metier,experience,secteur,region,statut,contrat,teletravail
27.0,Ingénieur/ingénieure décisionnel/décisionnelle F/H,TECH / IT,5,PUBLIC / ÉDUCATION,PACA,Cadre du secteur public / Armées,CDD,Non autorisé
50.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,RH / RECRUTEMENT,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
47.5,IDEC / Cadre de santé en EHPAD Juvisy-sur-Orge F/H,SANTÉ / MÉDICAL,1,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
43.5,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,AUTRES,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
36.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,RH / RECRUTEMENT,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
56.0,Responsable de comptes Santé F/H,COMMERCIAL,1,RH / RECRUTEMENT,AUVERGNE-RHÔNE-ALPES,Cadre du secteur privé,CDI,Non autorisé
40.0,Cadre de santé F/H,SANTÉ / MÉDICAL,3,CONSEIL / GESTION,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
51.5,Cadre de santé en EHPAD F/H,SANTÉ / MÉDICAL,2,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
45.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,RH / RECRUTEMENT,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
47.5,Cadre de santé / IDEC en EHPAD Rosny F/H,SANTÉ / MÉDICAL,2,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
38.5,Préventeur Santé Sécurité F/H,INGÉNIERIE / INDUSTRIE,3,RH / RECRUTEMENT,AUVERGNE-RHÔNE-ALPES,Cadre du secteur privé,CDI,Non autorisé
42.0,Cadre de santé MAS F/H,SANTÉ / MÉDICAL,5,CONSEIL / GESTION,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
45.0,CADRE DE SANTÉ F/H,SANTÉ / MÉDICAL,1,CONSEIL / GESTION,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
45.0,IDEC / Cadre de santé Nevers (58) F/H,SANTÉ / MÉDICAL,2,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
45.0,cadre de santé rééducation F/H,SANTÉ / MÉDICAL,1,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur privé,CDD,Non autorisé
52.5,Ingénieur commercial santé F/H,SANTÉ / MÉDICAL,3,RH / RECRUTEMENT,BOURGOGNE-FRANCHE-COMTÉ,Cadre du secteur privé,CDI,Non autorisé
52.5,Ingénieur commercial santé F/H,SANTÉ / MÉDICAL,3,RH / RECRUTEMENT,GRAND EST,Cadre du secteur privé,CDI,Non autorisé
40.0,Cadre de santé F/H,SANTÉ / MÉDICAL,3,PUBLIC / ÉDUCATION,AUVERGNE-RHÔNE-ALPES,Cadre du secteur public / Armées,CDI,Non autorisé
30.0,Cadres de Santé F/H,SANTÉ / MÉDICAL,0,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur public / Armées,CDI,Non autorisé
32.5,Préventeur santé sécurité F/H,INGÉNIERIE / INDUSTRIE,2,INDUSTRIE / INGÉNIERIE,GRAND EST,Cadre du secteur privé,CDI,Non autorisé
36.0,Responsable de centre de santé F/H,MANAGEMENT / DIRECTION,0,PUBLIC / ÉDUCATION,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
45.0,Cadre de santé F/H,SANTÉ / MÉDICAL,2,SANTÉ / SOCIAL,PAYS DE LA LOIRE,Cadre du secteur public / Armées,CDI,Non autorisé
52.5,Ingénieur commercial santé F/H,SANTÉ / MÉDICAL,1,RH / RECRUTEMENT,ÎLE-DE-FRANCE,Cadre du secteur privé,CDI,Non autorisé
42.5,Ingénieur Sécurité et Santé F/H,INGÉNIERIE / INDUSTRIE,2,INDUSTRIE / INGÉNIERIE,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
52.5,Ingénieur commercial santé F/H,SANTÉ / MÉDICAL,1,RH / RECRUTEMENT,OCCITANIE,Cadre du secteur privé,CDI,Non autorisé
50.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,RH / RECRUTEMENT,OCCITANIE,Cadre du secteur privé,CDI,Non autorisé
55.0,cadre de santé Chirurgie F/H,SANTÉ / MÉDICAL,2,SANTÉ / SOCIAL,GRAND EST,Cadre du secteur privé,CDI,Non autorisé
30.0,CADRE DE SANTE - CHIRURGIE F/H,SANTÉ / MÉDICAL,0,SANTÉ / SOCIAL,GRAND EST,Cadre du secteur privé,CDI,Non autorisé
47.5,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,RH / RECRUTEMENT,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
42.5,Cadre de santé - Urgences F/H,SANTÉ / MÉDICAL,5,SANTÉ / SOCIAL,HAUTS-DE-FRANCE,Cadre du secteur privé,CDI,Non autorisé
30.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,SANTÉ / SOCIAL,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
43.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,CONSEIL / GESTION,PAYS DE LA LOIRE,Cadre du secteur privé,CDI,Non autorisé
42.5,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,CONSEIL / GESTION,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
51.0,Cadre de Santé F/H,SANTÉ / MÉDICAL,0,RH / RECRUTEMENT,AUTRE REGION,Cadre du secteur privé,CDI,Non autorisé
45.0,CADRE DE SANTÉ F/H,SANTÉ / MÉDICAL,0,CONSEIL / GESTION,AUVERGNE-RHÔNE-ALPES,Cadre du secteur privé,CDI,Non autorisé
