titre,entreprise,contrat,lieu,salaire_brut_texte,experience,statut,metier,secteur,etudes,teletravail,url_source,salaire_min,salaire_max
Technicien Informatique F/H,Hays France,CDI,Gorron - 53,30 - 35 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,,"FABRICATION D'AUTRES RÉSERVOIRS, CITERNES ET CONTENEURS MÉTALLIQUES",,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177779342W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,30.0,35.0
Responsable informatique F/H,Adsearch,CDI,Avignon - 84,50 - 60 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Responsable informatique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177857775W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,50.0,60.0
Consultant Informatique F/H,ARTHOM ENGINEERING,CDI,Paris 12 - 75,30 - 38 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Urbaniste du système d'information,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177772064W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,30.0,38.0
Concepteur Informatique F/H,AFPA,CDI,Montreuil - 93,38 - 39 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Formateur,FORMATION CONTINUE D'ADULTES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177788377W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,38.0,39.0
Responsable Informatique F/H,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,Marly - 59,50 - 55 k€ brut annuel,Aucune expérience exigée,Cadre du secteur privé,Responsable informatique,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177776845W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,50.0,55.0
Coordinateur informatique F/H,KALIXENS RH ROANNE,CDI,Balbigny - 42,35 - 45 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Responsable de parc informatique,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177876257W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,35.0,45.0
Enseignant en informatique F/H,Efrei Paris,CDI,Bordeaux - 33,40 - 45 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Enseignant,ENSEIGNEMENT SUPÉRIEUR,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177787639W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,40.0,45.0
INGENIEUR INFORMATIQUE F/H,CITERNEO,CDI,Amboise - 37,A partir de 30 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur en études et développement informatiques,FABRICATION D'ÉLÉMENTS EN MATIÈRES PLASTIQUES POUR LA CONSTRUCTION,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177778389W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,30.0,30.0
Ingénieur Informatique F/H,Techteam,CDI,Saint-Étienne - 42,A partir de 40 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur informatique industrielle,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177687338W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,40.0,40.0
Responsable Informatique F/H,Achil,CDI,Thann - 68,45 - 50 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Administrateur réseaux,FABRICATION DE MATÉRIEL MÉDICO-CHIRURGICAL ET DENTAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177787279W?motsCles=Informatique&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,45.0,50.0
